title,subtitle,price,image,tag,price_range
Nike SB Dunk Low Pro,Skate Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6f296ee1-4796-4b38-9019-8ea4630458c6/NIKE+SB+DUNK+LOW+PRO.png",Available in SNKRS,affordable
LeBron XXII 'Mogul',Basketball Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/17c32987-12a6-4fbb-9588-0c461c5dee28/LEBRON+XXII.png",,expensive
Book 1 'Moss Point',Basketball Shoes,210,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e7a99a14-4f69-44a6-992f-b27ad6e8cc70/BOOK+1+MP.png",,expensive
Nike Zegama 2,Men's Trail-Running Shoes,250,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3f1893c2-048f-4f1f-b66a-c5a2c40c50b4/NIKE+ZOOMX+ZEGAMA+TRAIL+2.png",,expensive
Nike Air Max Excee,Men's Shoes,140,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d5c2291d-435a-4144-ac0a-0665e0ade14a/NIKE+AIR+MAX+EXCEE.png",,affordable
Nike Air Max Portal,Women's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f0b805e2-83a2-410e-8cef-47eb8902d498/W+NIKE+AIR+MAX+PORTAL.png",Sustainable Materials,affordable
Air Jordan 1 Mid SE,Men's Shoes,190,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d7fb6884-bbc9-4b51-bd0b-4a6a248e84af/AIR+JORDAN+1+MID+SE.png",,affordable
Jordan CMFT Era,Men's Shoes,180,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/36e633d3-8d64-41c5-b083-d9f5dfaa97c2/JORDAN+CMFT+ERA.png",,affordable
Nike Vomero 18,Men's Road Running Shoes,220,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b8b41695-e592-471f-9f77-166e14969695/NIKE+VOMERO+18.png",Sustainable Materials,expensive
Nike Air Force 1 Low Retro,Men's Shoes,200,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c2990651-5612-4c09-802c-d8261dfc7fa4/AIR+FORCE+1+LOW+RETRO.png",Available in SNKRS,expensive
Nike Air Max Dn8,Men's Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/20fdb293-50ff-42f4-ae6d-87d5c55eae5c/AIR+MAX+DN8.png",Sustainable Materials,expensive
Nike Air Max Dn8,Men's Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/891821a5-34ca-4a46-9d72-fbdecf137336/AIR+MAX+DN8.png",Sustainable Materials,expensive
Nike Air Max Dn8,Men's Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d95ad677-8900-4590-989f-7b17a3bd4080/AIR+MAX+DN8.png",Sustainable Materials,expensive
Nike Vomero 18,Men's Road Running Shoes,220,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4e5a3c2f-79f2-46f1-94f2-682b6eeba044/NIKE+VOMERO+18.png",Sustainable Materials,expensive
Nike Big Low,Men's Shoes,130,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/72f07a5b-4fb8-4182-98b7-1f91ad71ed5c/BIG+NIKE+LOW.png",Member Product,affordable
Nike Shox TL,Men's Shoes,240,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/41b4e3ab-e48b-4281-8719-1d812941e8e6/NIKE+SHOX+TL.png",,expensive
Nike Air VaporMax 2023 Flyknit,Men's Shoes,280,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d9f1c9bc-102f-4820-902b-c011f7be496e/AIR+VAPORMAX+2023+FK.png",Sustainable Materials,expensive
Nike Air Max Dn,Shoes,230,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/73549568-8e6a-4a5a-a909-04db1e8019a0/AIR+MAX+DN.png",Sustainable Materials,expensive
Nike Air Max Dn,Shoes,230,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4a7a81d3-223c-44b1-8c26-d613d901cee4/AIR+MAX+DN.png",Sustainable Materials,expensive
